Date,Open,High,Low,Close
11/04/2019,5.3525,5.3575,5.35,5.36
12/04/2019,5.3775,5.3775,5.36,5.3625
15/04/2019,5.365,5.3875,5.3625,5.39625
16/04/2019,5.4125,5.4175,5.3925,5.4
17/04/2019,5.4075,5.4175,5.4075,5.4225
18/04/2019,5.4375,5.45,5.3775,5.425
23/04/2019,5.4375,5.45,5.4075,5.425
24/04/2019,5.42,5.44,5.415,5.4325
25/04/2019,5.41,5.41,5.375,5.385
26/04/2019,5.385,5.43,5.385,5.4275
29/04/2019,5.4375,5.4375,5.4275,5.435
30/04/2019,5.4725,5.4725,5.4725,5.4775
01/05/2019,5.5225,5.525,5.51,5.51
02/05/2019,5.455,5.46,5.45,5.42
03/05/2019,5.46,5.4675,5.46,5.4775
07/05/2019,5.465,5.4775,5.415,5.42375
08/05/2019,5.39,5.39,5.3825,5.41
09/05/2019,5.3975,5.4,5.3975,5.3625
10/05/2019,5.375,5.4025,5.3725,5.365
13/05/2019,5.415,5.44,5.4,5.405
14/05/2019,5.4275,5.4475,5.4275,5.4525
15/05/2019,5.4375,5.445,5.4375,5.4725
16/05/2019,5.505,5.505,5.5025,5.5425
17/05/2019,5.5325,5.5325,5.495,5.5275
20/05/2019,5.5025,5.5075,5.5025,5.52
21/05/2019,5.4875,5.4875,5.4875,5.4875
22/05/2019,5.4875,5.4875,5.4875,5.5
23/05/2019,5.495,5.5025,5.495,5.4925
24/05/2019,5.4725,5.475,5.4725,5.4775
28/05/2019,5.52,5.52,5.45,5.4325
29/05/2019,5.395,5.395,5.3675,5.35
30/05/2019,5.3625,5.3625,5.3625,5.3625
31/05/2019,5.34,5.3425,5.305,5.31
03/06/2019,5.2975,5.3325,5.2875,5.32875
04/06/2019,5.3675,5.395,5.3675,5.38
05/06/2019,5.42,5.45,5.42,5.445
06/06/2019,5.4875,5.495,5.48,5.51
07/06/2019,5.5375,5.5875,5.525,5.58625
10/06/2019,5.5675,5.5675,5.5675,5.56625
11/06/2019,5.58,5.595,5.58,5.60375
12/06/2019,5.5925,5.605,5.585,5.60375
13/06/2019,5.6,5.6,5.6,5.59125
14/06/2019,5.6175,5.6175,5.615,5.62125
17/06/2019,5.615,5.615,5.615,5.59125
18/06/2019,5.6075,5.625,5.6075,5.57125
19/06/2019,5.545,5.545,5.5425,5.545
20/06/2019,5.62125,5.62125,5.62125,5.62125
21/06/2019,5.64375,5.64375,5.64375,5.64375
24/06/2019,5.655,5.655,5.64,5.66375
25/06/2019,5.65,5.6525,5.65,5.64625
26/06/2019,5.59,5.59,5.59,5.57375
27/06/2019,5.5575,5.5575,5.5575,5.5575
28/06/2019,5.5925,5.605,5.58,5.5675
01/07/2019,5.6,5.6,5.6,5.59375
02/07/2019,5.61,5.61,5.61,5.61875
03/07/2019,5.635,5.685,5.635,5.69625
04/07/2019,5.7225,5.7225,5.7225,5.71375
05/07/2019,5.6775,5.6775,5.65,5.64875
08/07/2019,5.68,5.68,5.67,5.68375
09/07/2019,5.67,5.6775,5.67,5.65625
10/07/2019,5.7075,5.7125,5.6975,5.695
11/07/2019,5.7125,5.7125,5.7125,5.71375
12/07/2019,5.7425,5.755,5.73,5.75625
15/07/2019,5.7625,5.7675,5.755,5.75375
16/07/2019,5.75961,5.75961,5.75961,5.7375
17/07/2019,5.7675,5.7675,5.74,5.73375
18/07/2019,5.75,5.7575,5.7375,5.77125
19/07/2019,5.8175,5.8225,5.7875,5.8025
22/07/2019,5.78,5.785,5.7475,5.73625
23/07/2019,5.755,5.785,5.73,5.7575
24/07/2019,5.73625,5.73625,5.73625,5.73625
25/07/2019,5.7225,5.7325,5.7225,5.7425
26/07/2019,5.71,5.7825,5.71,5.77875
29/07/2019,5.805,5.80644,5.79359,5.80625
30/07/2019,5.83,5.83,5.7825,5.83875
31/07/2019,5.8225,5.835,5.795,5.76875
01/08/2019,5.76,5.76,5.76,5.77875
02/08/2019,5.67,5.705,5.67,5.6675
05/08/2019,5.6425,5.6425,5.635,5.6125
06/08/2019,5.565,5.565,5.54384,5.5625
07/08/2019,5.5925,5.5925,5.555,5.585
08/08/2019,5.65,5.66121,5.65,5.67125
09/08/2019,5.6625,5.6625,5.6625,5.6625
12/08/2019,5.6925,5.7,5.6475,5.64625
13/08/2019,5.705,5.7475,5.705,5.6975
14/08/2019,5.71,5.71,5.6675,5.6775
15/08/2019,5.6725,5.68,5.665,5.69375
16/08/2019,5.7275,5.7275,5.72,5.76875
19/08/2019,5.82625,5.82625,5.82625,5.82625
20/08/2019,5.84,5.8475,5.8025,5.79125
21/08/2019,5.7775,5.7825,5.76871,5.77375
22/08/2019,5.785,5.8025,5.775,5.78375
23/08/2019,5.805,5.805,5.8025,5.755
27/08/2019,5.7925,5.7925,5.76035,5.76375
28/08/2019,5.79875,5.79875,5.79875,5.79875
29/08/2019,5.8325,5.8325,5.8325,5.80125
30/08/2019,5.8225,5.8325,5.8175,5.79125
02/09/2019,5.7925,5.8125,5.7925,5.78625
03/09/2019,5.7925,5.81,5.7825,5.81125
04/09/2019,5.86375,5.86375,5.86375,5.86375
05/09/2019,5.905,5.9125,5.8759,5.87625
06/09/2019,5.865,5.8725,5.86,5.87375
09/09/2019,5.8725,5.875,5.8675,5.86375
10/09/2019,5.835,5.854,5.82,5.80125
11/09/2019,5.8225,5.8225,5.8225,5.825
12/09/2019,5.865,5.8825,5.86,5.87625
13/09/2019,5.87,5.87,5.86,5.85375
16/09/2019,5.8025,5.8225,5.8,5.7875
17/09/2019,5.7775,5.8225,5.76,5.81875
18/09/2019,5.81,5.815,5.81,5.80875
19/09/2019,5.795,5.8075,5.79,5.80625
20/09/2019,5.8025,5.815,5.8025,5.81875
23/09/2019,5.785,5.785,5.78,5.83625
24/09/2019,5.8375,5.8725,5.82,5.85375
25/09/2019,5.8425,5.8425,5.83787,5.84625
26/09/2019,5.85,5.87,5.85,5.86625
27/09/2019,5.8975,5.905,5.851,5.88875
30/09/2019,5.9025,5.9075,5.9,5.91625
01/10/2019,5.9,5.9075,5.9,5.88875
02/10/2019,5.8575,5.86,5.8325,5.78875
03/10/2019,5.8,5.8,5.7575,5.81375
04/10/2019,5.8,5.8625,5.79,5.86625
07/10/2019,5.86,5.86,5.86,5.88375
